Date,equity_close,equity_volume,commodity_close,currency_close,vix_close,equity_ret,commodity_ret,currency_ret,vix_spread,detrended_volume,corr_eq_cmd,corr_eq_cur,corr_cmd_cur
2021-05-21,15175.2998046875,572900,1876.699951171875,73.02189636230469,19.079999923706055,1.046161625880433,-0.2756555052702031,-0.5310570146004328,-1.360859274324492,0.13448335564241717,1.4442155290454655,0.6067571532225136,0.7859724707911866
2021-05-24,15197.7001953125,579800,1884.5999755859375,72.90979766845703,19.1299991607666,0.12124169500939387,0.28692579879813845,-0.5571472050303851,-1.247132354468844,0.12749797522537498,1.2624704957945019,0.45356347468063074,0.7161719707457482
2021-05-26,15301.4501953125,384000,1901.300048828125,72.80490112304688,20.8700008392334,0.7270055639499213,0.6779750939414098,-0.5262887135778932,-0.29870839669800353,-1.1581256969398135,1.3314695940934966,0.7836183847863628,0.690757534359756
2021-05-27,15337.849609375,0,1895.699951171875,72.67250061035156,19.90999984741211,0.2236685280821309,-0.31809637945120844,-0.6478721261336207,-0.7181435287714675,-3.796500127807487,1.3381772484998178,0.391476159313184,1.1891729473978154
2021-05-28,15435.650390625,468100,1902.5,72.68299865722656,17.399999618530273,0.6761541000129935,0.23446378537270454,-0.02003875526351455,-1.889587002857264,-0.22952600755223412,1.2767006867834116,0.14873007504915897,0.9841234195802003
2021-06-01,15574.849609375,409600,1902.9000244140625,72.48719787597656,17.389999389648438,0.9741688568566836,-0.05071936470740606,-0.9282284802561829,-1.7354292268640754,-0.5209072356354109,1.2697423757595314,0.18624970911695307,0.9973323590092166
2021-06-02,15576.2001953125,428600,1907.5,72.8550033569336,17.209999084472656,-0.036587148382836734,0.13578446457870108,1.5511836127240102,-1.676218131283398,-0.22401125728124432,1.3991905298863874,-0.009634727842095294,0.7176550696640321
2021-06-03,15690.349609375,410200,1871.199951171875,72.96510314941406,15.75,0.783646898039942,-1.6942307944638408,0.4163650269092166,-2.25972218423479,-0.2716914998898993,1.1124438932719771,0.3621053027357038,-0.15545531206628052
2021-06-04,15670.25,414200,1889.800048828125,73.04419708251953,15.9399995803833,-0.19216986431010605,0.7684109218604651,0.2800182382032612,-1.9683614054920298,-0.09475105067408046,1.034268139989618,0.25630965940360756,-0.1680226945755465
2021-06-07,15751.650390625,394000,1896.800048828125,72.90969848632812,15.56999969482422,0.5425688993725507,0.24432793178907508,-0.6551605427451063,-1.966796265305048,-0.12346949524176902,1.0526690016228908,-0.34914194022652845,-0.26080646220043485
2021-06-08,15740.099609375,378200,1892.199951171875,72.80940246582031,15.229999542236328,-0.1298409212569072,-0.2739607140136165,-0.506096897310412,-1.9234964747168788,-0.09323215647046616,1.2401074084664683,-0.28634494639695873,-0.31991115106844875
