,Gold,USDINR,NIFTY50,Gold_Volume,USDINR_Volume,NIFTY50_Volume
2008-01-01,,39.244998931884766,6144.35009765625,,0.0,0.0
2008-01-02,857.0,39.375,6179.39990234375,130.0,0.0,0.0
2008-01-03,866.4000244140625,39.35300064086914,6178.5498046875,181.0,0.0,0.0
2008-01-04,863.0999755859375,39.095001220703125,6274.2998046875,28.0,0.0,0.0
2008-01-07,859.5999755859375,39.2130012512207,6279.10009765625,4.0,0.0,0.0
2008-01-08,878.0,39.19599914550781,6287.85009765625,21.0,0.0,0.0
2008-01-09,879.5,39.2130012512207,6272.0,48.0,0.0,0.0
2008-01-10,891.7000122070312,39.215999603271484,6156.9501953125,6.0,0.0,0.0
2008-01-11,896.0999755859375,39.095001220703125,6200.10009765625,183.0,0.0,0.0
2008-01-14,901.5999755859375,39.21699905395508,6206.7998046875,89.0,0.0,0.0
2008-01-15,901.0,39.19200134277344,6074.25,101.0,0.0,0.0
2008-01-16,880.5999755859375,39.17100143432617,5935.75,102.0,0.0,0.0
2008-01-17,879.5,39.191001892089844,5913.2001953125,11.0,0.0,0.0
2008-01-18,880.7999877929688,39.284000396728516,5705.2998046875,30.0,0.0,0.0
2008-01-21,880.7999877929688,39.47600173950195,5208.7998046875,30.0,0.0,0.0
2008-01-22,889.5999755859375,39.310001373291016,4899.2998046875,30.0,0.0,0.0
2008-01-23,882.5,39.472999572753906,5203.39990234375,49.0,0.0,0.0
2008-01-24,905.5,39.36899948120117,5033.4501953125,6.0,0.0,0.0
2008-01-25,910.5,39.275001525878906,5383.35009765625,6.0,0.0,0.0
2008-01-28,927.0999755859375,39.29499816894531,5274.10009765625,25.0,0.0,0.0
2008-01-29,925.0999755859375,39.209999084472656,5280.7998046875,157692.0,0.0,0.0
2008-01-30,920.5999755859375,39.34700012207031,5167.60009765625,68820.0,0.0,0.0
2008-01-31,922.7000122070312,39.31399917602539,5137.4501953125,4289.0,0.0,0.0
2008-02-01,908.7000122070312,39.27299880981445,5317.25,2152.0,0.0,0.0
2008-02-04,904.9000244140625,39.27199935913086,5463.5,1493.0,0.0,0.0
2008-02-05,885.9000244140625,39.45100021362305,5483.89990234375,476.0,0.0,0.0
2008-02-06,900.7000122070312,39.5359992980957,5322.5498046875,430.0,0.0,0.0
2008-02-07,906.0999755859375,39.45899963378906,5133.25,463.0,0.0,0.0
2008-02-08,918.4000244140625,39.53499984741211,5120.35009765625,339.0,0.0,0.0
2008-02-11,922.9000244140625,39.5260009765625,4857.0,181.0,0.0,0.0
2008-02-12,907.4000244140625,39.57500076293945,4838.25,278.0,0.0,0.0
2008-02-13,906.5,39.63399887084961,4929.4501953125,89.0,0.0,0.0
2008-02-14,907.4000244140625,39.57600021362305,5202.0,128.0,0.0,0.0
2008-02-15,902.7999877929688,39.584999084472656,5302.89990234375,128.0,0.0,0.0
2008-02-18,902.7999877929688,39.63600158691406,5276.89990234375,128.0,0.0,0.0
2008-02-19,926.5999755859375,39.685001373291016,5280.7998046875,174.0,0.0,0.0
2008-02-20,934.5999755859375,40.13399887084961,5154.4501953125,73.0,0.0,0.0
2008-02-21,946.0999755859375,39.915000915527344,5191.7998046875,138.0,0.0,0.0
2008-02-22,944.7000122070312,39.974998474121094,5110.75,79.0,0.0,0.0
2008-02-25,937.5999755859375,39.91299819946289,5200.7001953125,312.0,0.0,0.0
2008-02-26,946.0999755859375,39.814998626708984,5270.0498046875,224.0,0.0,0.0
2008-02-27,958.2000122070312,39.689998626708984,5268.39990234375,215.0,0.0,0.0
2008-02-28,964.5,39.816001892089844,5285.10009765625,238.0,0.0,0.0
2008-02-29,972.0999755859375,39.90999984741211,5223.5,39.0,0.0,0.0
2008-03-03,981.5,40.25400161743164,4953.0,26.0,0.0,0.0
2008-03-04,963.9000244140625,40.20899963378906,4864.25,41.0,0.0,0.0
2008-03-05,986.2000122070312,40.17399978637695,4921.39990234375,45.0,0.0,0.0
2008-03-06,975.0,40.04399871826172,4921.39990234375,46.0,0.0,0.0
2008-03-07,972.2000122070312,40.23899841308594,4771.60009765625,96.0,0.0,0.0
2008-03-10,969.9000244140625,40.31399917602539,4800.39990234375,92.0,0.0,0.0
2008-03-11,974.2000122070312,40.17499923706055,4865.89990234375,12.0,0.0,0.0
2008-03-12,978.7999877929688,39.979000091552734,4872.0,6.0,0.0,0.0
2008-03-13,992.2999877929688,40.124000549316406,4623.60009765625,10.0,0.0,0.0
2008-03-14,998.2000122070312,40.07500076293945,4745.7998046875,27.0,0.0,0.0
2008-03-17,1001.4000244140625,40.374000549316406,4503.10009765625,82.0,0.0,0.0
2008-03-18,1003.2000122070312,40.15399932861328,4533.0,30.0,0.0,0.0
2008-03-19,944.7000122070312,40.132999420166016,4573.9501953125,84.0,0.0,0.0
2008-03-20,919.5999755859375,40.275001525878906,4573.9501953125,34.0,0.0,0.0
2008-03-21,919.5999755859375,40.185001373291016,4573.9501953125,34.0,0.0,0.0
2008-03-24,918.2999877929688,40.185001373291016,4609.85009765625,71.0,0.0,0.0
2008-03-25,934.5999755859375,40.051998138427734,4877.5,102.0,0.0,0.0
