,Gold,USDINR,NIFTY50,Gold_Volume,USDINR_Volume,NIFTY50_Volume,NIFTY50_Ret,Gold_Ret,USDINR_Ret,Detrended_Vol,Corr_NIFTY50_Gold,Corr_NIFTY50_USDINR
2013-01-21,1686.5999755859375,53.737998962402344,6082.2998046875,14.0,0.0,130900.0,0.2708426201079047,0.16012638646021313,-2.938246915120863,3.7496244991547094,0.914001714322852,0.2958370348153528
2013-01-22,1692.800048828125,53.768001556396484,6048.5,15.0,0.0,129000.0,-0.6572387055634664,0.2612077397358701,0.10823951637266095,3.7496244991547094,0.7898552371744106,0.20261112582330698
2013-01-23,1686.300048828125,53.80799865722656,6054.2998046875,28.0,0.0,137000.0,0.0541926072632348,-0.5357262034458898,0.15593405306901253,3.7496244991547094,0.8237941153924062,0.06570400005148667
2013-01-24,1669.5,53.667999267578125,6019.35009765625,13.0,0.0,185200.0,-0.6808616354430896,-0.4394691482649047,-0.70532806771735,3.7496244991547094,1.1225068303789096,0.033539913789988524
2013-01-25,1656.4000244140625,53.678001403808594,6074.64990234375,44.0,0.0,147600.0,0.9459752662721707,0.15189670305597525,0.012617978309636315,3.7496244991547094,0.9297697047121294,0.001837230367263718
2013-01-28,1652.4000244140625,53.792999267578125,6074.7998046875,82.0,0.0,113100.0,-0.04752187232581159,0.38876858418284677,0.5150816383000529,1.3150748158045598,1.1021956153593784,-0.06462768551406753
2013-01-29,1660.699951171875,53.90800094604492,6049.89990234375,145863.0,0.0,157600.0,-0.4976250511362902,0.5290052806298261,0.5139244761869164,2.2260785419876337,0.9490151826247083,-0.13808875496185943
2013-01-30,1679.9000244140625,53.757999420166016,6055.75,44893.0,0.0,124200.0,0.05507313995857746,0.4617898563934671,-0.7519301843417034,0.38788070514960826,0.5606863519413176,0.32910594251176206
2013-01-31,1660.5999755859375,53.303001403808594,6034.75,6044.0,0.0,168500.0,-0.4286166680210622,-1.6424357267184315,-2.221323915304871,1.16330785778763,0.8148310995203386,0.6907539135787492
2013-02-01,1669.4000244140625,53.2130012512207,5998.89990234375,3250.0,0.0,159300.0,-0.6992591859401143,1.1995942401809647,-0.469920003558019,0.35826756126439396,0.80169444909009,0.6848525516309119
2013-02-04,1675.300048828125,53.16299819946289,5987.25,450.0,0.0,141700.0,-0.2619612318055407,-0.12541462268377396,-0.2770916006263141,-0.14279214905477633,0.7377207297463718,1.0436044883000208
2013-02-05,1672.4000244140625,53.28300094604492,5956.89990234375,353.0,0.0,136200.0,-0.6038011336002486,-0.3749990556884399,0.5445660406767631,-0.30728879549272103,0.7043894457343746,0.6956864032484806
2013-02-06,1677.699951171875,53.132999420166016,5959.2001953125,376.0,0.0,157800.0,-0.008153476839907383,0.34864313647420464,-0.7603478825413108,0.20762508839189217,0.622747171834741,0.576178400631897
2013-02-07,1670.4000244140625,53.15299987792969,5938.7998046875,475.0,0.0,157600.0,-0.42375958094410493,-0.5363081478174868,0.061482364454155,0.28017608462093496,0.7756365729720296,0.5038617481705362
2013-02-08,1666.0,53.21799850463867,5903.5,289.0,0.0,192600.0,-0.6996228698731717,0.12254531862493058,0.27899756056037966,1.0603100256042566,0.7446628931416381,0.3104732267892992
2013-02-11,1648.199951171875,53.5880012512207,5897.85009765625,868.0,0.0,122000.0,-0.15451192335785524,-0.5775953115017833,1.746591205816288,-0.7847152919108876,0.39172675729456713,-0.7264935598899531
2013-02-12,1648.699951171875,53.95800018310547,5922.5,85.0,0.0,142800.0,0.40411746785812885,0.7866926084743869,1.7343119795031001,-0.21357552340816496,0.048002863178816614,0.1618366173366631
2013-02-13,1644.199951171875,53.847999572753906,5932.9501953125,236.0,0.0,142600.0,0.14182928902443528,-0.21654602387577437,-0.5601461377045445,-0.26357233456833257,0.060876490772488565,0.35588944501954
2013-02-14,1634.699951171875,53.81800079345703,5896.9501953125,219.0,0.0,143800.0,-0.7131986732720716,-0.21832839183396408,-0.17862578473582977,-0.17187832529155456,-0.08599810059589869,0.14956479218641205
2013-02-15,1608.800048828125,53.917999267578125,5887.39990234375,460.0,0.0,125100.0,-0.22677082303175689,-0.7252029730546341,0.44211588689515435,-0.583298983040656,-0.04175915672873226,0.5201884079451031
2013-02-18,1608.800048828125,54.31800079345703,5898.2001953125,460.0,0.0,114300.0,0.14943919766725705,1.137614169659061,1.8656127153551363,-0.8133128068429668,-0.061168552498065326,1.6674717096125375
2013-02-19,1603.5999755859375,54.178001403808594,5939.7001953125,272.0,0.0,101000.0,0.7135530798989531,-0.230868580418692,-0.6990290045852268,-1.1060022515771029,0.08540843258029782,1.2266715728711184
2013-02-20,1577.5999755859375,54.16299819946289,5943.0498046875,278.0,0.0,135400.0,0.011203135499398694,-0.9341535561001753,-0.10653900093039854,-0.08530623654149692,-0.03312752008874588,1.2042151228360547
2013-02-21,1578.199951171875,54.06800079345703,5852.25,2019.0,0.0,159400.0,-1.7273445292330623,1.1914718237377913,-0.4867826654201842,0.5889502897752323,-0.4392845250521315,1.276450273499082
2013-02-22,1572.4000244140625,54.46799850463867,5850.2998046875,76.0,0.0,157000.0,-0.08651612874021833,-0.2896120025891356,1.860340341312823,0.6387768913084996,-0.18619746743268947,1.4615781301131168
2013-02-25,1586.199951171875,54.27299880981445,5854.75,118.0,0.0,125100.0,0.03262039214307896,0.8846362587676044,-0.9576964009901738,-0.29637297384692685,-0.01468752206857212,1.2752105423859545
2013-02-26,1615.199951171875,53.862998962402344,5761.35009765625,1158.0,0.0,157400.0,-1.8019870323694696,0.6680278035731348,-1.9855477616020074,0.5909311264283061,-1.0440590489307573,2.1190104698708754
2013-02-27,1595.199951171875,54.0880012512207,5796.89990234375,700.0,0.0,175200.0,0.6198751264189809,-2.1786817537947085,1.0367859526112129,0.98383217778322,-1.5344082059306874,2.4041672778151226
2013-02-28,1577.699951171875,53.858001708984375,5693.0498046875,102.0,0.0,334900.0,-2.019383590975652,0.1015695821392239,-1.1312655755047176,3.7496244991547094,-0.9127308776430199,2.7804208321207686
2013-03-01,1571.9000244140625,54.362998962402344,5719.7001953125,68.0,0.0,174500.0,0.45853195736929075,0.5232978340716868,2.3649215525179543,0.24506449142328934,-0.847565105239262,2.9276933046977827
2013-03-04,1572.0999755859375,54.89799880981445,5698.5,64.0,0.0,144900.0,-0.4547169847471461,0.2712406143029809,2.483320597854953,-0.5254780105738561,-0.8832229665511645,2.6902783004246063
2013-03-05,1574.5999755859375,54.858001708984375,5784.25,65.0,0.0,154400.0,1.576760698265579,0.10393015576346314,-0.22275335529437326,-0.41525881737593096,-0.5250194927288301,2.2223771484596258
2013-03-06,1574.5999755859375,54.917999267578125,5818.60009765625,106.0,0.0,156900.0,0.5947726603348007,-0.1134189599373037,0.2458154880407837,-0.40251646454543333,-0.4867353441496478,2.2471126504198256
2013-03-07,1574.800048828125,54.7130012512207,5863.2998046875,52.0,0.0,134700.0,0.7834266076732098,0.008838594028331054,-0.9971185076495921,-0.8570412694364915,-0.40431805425753603,1.8966644321788246
2013-03-08,1576.5999755859375,54.55799865722656,5945.7001953125,68.0,0.0,150800.0,1.470010683825646,0.07211773066985507,-0.7649455912793666,-0.47819064843419135,-0.22523949036168714,1.4989614917439373
2013-03-11,1577.800048828125,54.34299850463867,5942.35009765625,1115.0,0.0,125400.0,-0.11160452131285048,-0.027387194426777995,-1.0508086001788535,-1.058836146902517,-0.2690555662320135,1.5735096718959394
2013-03-12,1591.5,54.40800094604492,5914.10009765625,159.0,0.0,115900.0,-0.5693062977578389,0.5615214672922331,0.27213704650537207,-1.2099140878661696,-0.4167090941181657,1.462617296596539
2013-03-13,1588.300048828125,54.141998291015625,5851.2001953125,396.0,0.0,116700.0,-1.214964704768272,-0.7595501708338345,-1.2957696857657457,-1.0918915962482554,-0.3910782383195544,1.710678859718106
2013-03-14,1590.5999755859375,54.362998962402344,5908.9501953125,137.0,0.0,149000.0,1.0196477954337833,0.24627005399138416,1.012342432828061,0.16363237183337687,-0.37004035718794726,1.826661086352794
2013-03-15,1592.5,54.35300064086914,5872.60009765625,11.0,0.0,152200.0,-0.7223935416305317,-0.01825081620901252,-0.08261378960007205,0.31782970175254815,-0.5040472835313391,1.845404736247246
2013-03-18,1604.5999755859375,54.02299880981445,5835.25,613.0,0.0,102700.0,-0.745233388911761,0.45401194781590765,-1.6015438056185072,-0.9723856129001461,-0.611190843259197,1.9585407518742175
2013-03-19,1611.300048828125,54.073001861572266,5745.9501953125,202.0,0.0,182300.0,-1.7301313076465674,-0.24262607766912073,0.20262658719339205,1.208802640894215,-0.6669212963465573,1.9293791422511297
2013-03-20,1607.5,54.36800003051758,5694.39990234375,5.0,0.0,187600.0,-1.031908521130643,-0.4652998080028842,1.3639535754227645,1.2436047218650579,-0.5817701830474703,1.704340845041998
2013-03-21,1613.800048828125,54.349998474121094,5658.75,7.0,0.0,179200.0,-0.7343212886991533,0.44668078558417607,-0.12047778729520364,0.8620620163038215,-0.6683444270886916,1.6453929216522252
2013-03-22,1606.199951171875,54.27799987792969,5651.35009765625,101.0,0.0,165300.0,-0.1927519645341547,-0.6152029637393567,-0.37623060043143697,0.4475896952094199,-0.6519513651814683,1.655421397308997
2013-03-25,1604.5999755859375,54.34299850463867,5633.85009765625,27.0,0.0,150400.0,-0.38805105696231623,0.26509821889063495,0.27248694349608615,-0.012538896826042438,-0.7318791822999968,1.708989153860674
2013-03-26,1595.800048828125,54.167999267578125,5641.60009765625,165484.0,0.0,126500.0,0.09953473369043712,-0.32100433954889773,-0.8648446347128914,-0.6569263399659223,0.03236809191880392,1.1556468617266966
2013-03-27,1606.199951171875,54.362998962402344,5641.60009765625,50450.0,0.0,126500.0,-0.05020990925124964,0.8543806452287356,0.8888633366071077,-0.6779571925917667,0.4942387245552023,1.0250876281100496
2013-03-28,1594.800048828125,54.38800048828125,5682.5498046875,4717.0,0.0,209700.0,0.7376164312272201,-0.9704706646424239,0.0829422996255689,1.249688151368215,-0.8569729211282897,0.5598742782209544
2013-03-29,1594.800048828125,54.38800048828125,5682.5498046875,4717.0,0.0,209700.0,-0.05020990925124964,0.5072448192185337,-0.035308908326529,1.068335035560399,-0.7683868247656982,0.22554026084131193
2013-04-01,1600.0,54.27799987792969,5704.39990234375,688.0,0.0,97800.0,0.367841726983444,0.2317070080585061,-0.5559924866485163,-1.5878973190908876,-0.7185604590633926,0.41590297374229956
2013-04-02,1575.0999755859375,54.25,5748.10009765625,2289.0,0.0,106400.0,0.7811108011661396,-1.3495996769763978,-0.16801371949734267,-1.2589576842483614,-1.2278982417647382,0.4344025572673781
2013-04-03,1552.800048828125,54.42300033569336,5672.89990234375,2171.0,0.0,140700.0,-1.4847230403181215,0.1013759407111372,0.7835290657513247,-0.29107628047607104,-0.36725066304700016,-0.08418872645306015
2013-04-04,1551.800048828125,54.428001403808594,5574.75,829.0,0.0,134600.0,-1.9513867727644107,0.969766869658998,-0.011676789597480666,-0.3429419125534358,-0.37871595426336657,0.16391320154559477
2013-04-05,1575.4000244140625,54.882999420166016,5553.25,1184.0,0.0,137500.0,-0.4711354689355422,1.121026152308306,2.105709793266987,-0.19521501746876052,-0.5132102685083071,0.5369794308553052
2013-04-08,1572.0,54.803001403808594,5542.9501953125,101.0,0.0,97000.0,-0.25243649296277254,-1.229483135414247,-0.4104549885341985,-1.1917927722327664,-0.5341431891443333,0.6233153858545943
2013-04-09,1586.199951171875,54.55799865722656,5495.10009765625,215.0,0.0,138200.0,-0.9946547426558102,0.7943812291855537,-1.1876512676735242,-0.06450297324895356,-0.6524756382611202,0.8381123778057766
